x,y,time
157.64865112304688,106.34111785888672,3.3227434158325195
158.30274963378906,106.36196899414062,3.339242458343506
158.97911071777344,107.03199768066406,3.3557302951812744
159.64157104492188,108.31314086914062,3.372387647628784
161.5579071044922,108.97086334228516,3.388897180557251
163.49819946289062,112.18048858642578,3.4055144786834717
164.18157958984375,112.19363403320312,3.4218809604644775
166.7526397705078,114.14474487304688,3.438502550125122
168.04408264160156,114.79727172851562,3.454967737197876
168.73110961914062,116.72107696533205,3.4722251892089844
170.66014099121094,117.40953063964844,3.4880173206329346
172.60360717773438,118.71473693847656,3.505434036254883
173.88807678222656,120.63687133789062,3.521151304244995
174.57350158691406,121.3019561767578,3.537569761276245
177.80738830566406,123.23883056640624,3.554152011871338
179.07057189941406,123.25882720947266,3.5706963539123535
179.76681518554688,124.55398559570312,3.587296485900879
182.98764038085938,127.12368774414062,3.603668212890625
184.27915954589844,127.7658920288086,3.6203525066375732
185.5902404785156,128.44139099121094,3.636845588684082
187.55230712890625,129.73265075683594,3.653743028640747
190.12969970703125,131.70161437988278,3.67059063911438
191.4509429931641,132.36531066894528,3.6865971088409424
192.74305725097656,132.97640991210938,3.7030386924743652
194.01513671875,132.97491455078122,3.7197070121765137
195.33384704589844,133.65934753417972,3.736015796661377
197.27691650390625,136.24610900878906,3.7532804012298584
199.2265472412109,136.8802490234375,3.7698450088500977
199.8522186279297,136.89431762695312,3.785979986190796
199.890380859375,137.51698303222656,3.802156686782837
200.552001953125,137.55438232421878,3.818751811981201
203.1428680419922,138.82608032226562,3.8352601528167725
203.7914123535156,139.47213745117188,3.851799488067627
203.7854156494141,139.47486877441406,3.868335008621216
