Number of Pixels,Decision Tree,Naive Bayes,SVM
1,29.03%,37.64%,30.42%
2,40.56%,47.22%,40.14%
3,82.36%,65.97%,59.31%
4,78.89%,81.25%,71.11%
5,80.14%,86.11%,74.58%
6,85.83%,89.58%,77.08%
7,90.56%,93.19%,84.17%
8,93.06%,94.31%,87.50%
9,94.03%,96.53%,94.31%
10,96.53%,97.64%,95.42%
